embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_uci,c_npmi,c_su,c_cu
sbert-lexrank-weighted,20,50,50,210,152949,66749,0.41845471405327583,-1.0028862818607787,-2.4589418387389554,0.008957906504986908,0.5076437388338476,0.5776041001405032
sbert-lexrank-weighted,20,100,1,219,134265,67100,0.4069305482630725,-0.9517853574150966,-2.8469718331861387,-0.015133594053167628,0.5225794797687862,0.54675796431365
sbert-lexrank-weighted,20,100,10,174,148987,64190,0.3849193200298944,-0.9428177004951688,-2.973940120740345,-0.016975097765421086,0.519791768981436,0.5738506540537729
sbert-lexrank-weighted,20,100,50,136,137453,62370,0.4197384782409881,-0.8292909610697252,-2.5048856389985192,0.00916179962860932,0.5313628296921853,0.5583295813593966
sbert-lexrank-weighted,20,100,100,128,146128,61784,0.38957506381331636,-0.8352425061119936,-2.9145989492263515,-0.0075448707772566076,0.5136850643226317,0.5665949330331393
sbert-lexrank-weighted,20,200,1,125,122218,60583,0.4017438204752192,-0.7609043298714361,-2.992039616054802,-0.017681999313443584,0.5375353939134366,0.5372882930553255
sbert-lexrank-weighted,20,200,20,108,133176,59995,0.3989966691833895,-0.7681602173317876,-2.933516662976433,-0.01027091386214892,0.5403190019675974,0.557900757446369
sbert-lexrank-weighted,20,200,100,97,144250,59641,0.3756562632639134,-0.7304148380536217,-3.1645429028528027,-0.019206305408662003,0.5159281437125749,0.5648402750498954
sbert-lexrank-weighted,20,200,200,76,126186,59140,0.38786442717880204,-0.6048702120489067,-3.080884774827283,-0.01792143627603026,0.514786854050007,0.5341812776728581
sbert-lexrank-weighted,25,10,10,868,181534,82774,0.45855115594618107,-1.4214856753909175,-2.3249337866874957,4.376714720629049e-06,0.4877326940720353,0.6364164250545391
sbert-lexrank-weighted,25,20,10,542,178216,79463,0.457474422063487,-1.2636720893831077,-2.2300464008719643,0.01287817292626917,0.4951556610358788,0.6298165063844843
sbert-lexrank-weighted,25,20,20,405,162690,73765,0.4524936042586765,-1.1651588423245773,-2.2412521617097436,0.013335747142270697,0.48707475253157356,0.5892319156437293
sbert-lexrank-weighted,25,50,10,286,162469,70986,0.4445078045403635,-1.097651968207604,-2.368662367652407,0.012720957186131032,0.5184324447482342,0.6024648367607295
sbert-lexrank-weighted,25,50,25,228,150706,67634,0.41384838348587366,-1.002502743912668,-2.6735619668284736,-0.0038826939011802233,0.526027235167089,0.5812038964813038
sbert-lexrank-weighted,25,50,50,193,147608,65987,0.4175655490040932,-0.9635996011638047,-2.628760944576223,-0.0006733173787393196,0.5317328710333912,0.5794695963047329
sbert-lexrank-weighted,25,100,1,233,145592,67863,0.40651915540134553,-0.9970985141085239,-2.8569741097426307,-0.01500078758488925,0.5061492537313432,0.5590665502981265
sbert-lexrank-weighted,25,100,10,176,152258,64474,0.4068270737990794,-0.9460561882780826,-2.8210594456657114,-0.007393358082459162,0.5223292912525053,0.5801628914430039
sbert-lexrank-weighted,25,100,50,146,145543,63230,0.4078769828380018,-0.8721771582395557,-2.7759663932201053,-0.0054694267316065135,0.5340547011695368,0.5768055402012034
sbert-lexrank-weighted,25,100,100,123,138840,62027,0.38600761956251156,-0.8282790985187569,-3.114101327784906,-0.020447240686409896,0.5420175688632064,0.5703741069000713
sbert-lexrank-weighted,25,200,1,136,131983,61090,0.3868608215482768,-0.840483808446418,-3.1593540225869945,-0.024159564122115822,0.5242398779002967,0.5456592080949576
sbert-lexrank-weighted,25,200,20,112,137492,60140,0.37393303563708125,-0.7858854300315212,-3.1676148637265187,-0.023765263874118633,0.5274975340474501,0.5581372296346226
sbert-lexrank-weighted,25,200,100,87,128691,59428,0.37963652811933013,-0.661930832647801,-3.2379737299028655,-0.023697900221314114,0.5335850445160826,0.5459617186665982
sbert-lexrank-weighted,25,200,200,77,128913,59193,0.3819321049445989,-0.655973445473719,-3.205188828755933,-0.024325105880324667,0.5224074440704811,0.542787507125027
sbert-lexrank-weighted,50,10,10,700,177002,78414,0.4550098549492288,-1.3503347493693552,-2.43226693821375,-0.0028530458154834735,0.5035833542307337,0.63445992671314
sbert-lexrank-weighted,50,20,10,408,163854,73515,0.4548101604232269,-1.142982503594587,-2.363432822165457,0.008228520631357709,0.5175995965708522,0.6095712189123795
sbert-lexrank-weighted,50,20,20,310,151502,69959,0.45601422092000754,-1.040804275583468,-2.195682124062367,0.01810666520240214,0.4968550392510605,0.5685739123562651
sbert-lexrank-weighted,50,50,10,235,158118,68379,0.41439918624005867,-1.015740083854653,-2.6859881431203556,-0.003661196387505796,0.5139379414732593,0.5941081818037699
sbert-lexrank-weighted,50,50,25,187,149747,65643,0.4199571938381998,-0.9326936315408536,-2.481250811487632,0.008296069207396933,0.517838399984593,0.5754937269956861
sbert-lexrank-weighted,50,50,50,167,141937,64663,0.4213380730116741,-0.8758321396400991,-2.5813342897090807,0.0036365468389551385,0.5264359849292671,0.5685928835672086
sbert-lexrank-weighted,50,100,1,210,151061,67170,0.4230695513695218,-0.9245801808611145,-2.724297044524231,-0.007136504005377841,0.516668907806407,0.5759419573592381
sbert-lexrank-weighted,50,100,10,150,144343,63482,0.42710735697778285,-0.8898212800597451,-2.5591066695875657,0.004509956267660595,0.5177134622312958,0.5639450809642613
sbert-lexrank-weighted,50,100,50,126,138713,62172,0.4021919838694577,-0.799992683582215,-2.838296700564782,-0.007043100106032797,0.5273928191650312,0.5624171610704367
sbert-lexrank-weighted,50,100,100,118,139410,61604,0.3781603875945113,-0.7967536112302218,-3.150890540431628,-0.021084403346421178,0.5120463904825596,0.5568636003172086
sbert-lexrank-weighted,50,200,1,108,129661,60131,0.40681882776523365,-0.744847788910151,-2.9643931810139454,-0.014697334015003014,0.5316090299765616,0.5458029437478293
sbert-lexrank-weighted,50,200,20,92,131028,59754,0.401126625952789,-0.7091526185222923,-3.002470695654925,-0.013771651904989848,0.5125819549237789,0.536498998406915
sbert-lexrank-weighted,50,200,100,78,126582,59088,0.3828957865927343,-0.6183778002227134,-3.1645933602194076,-0.01718777197180267,0.527102525070228,0.5445053665391645
sbert-lexrank-weighted,50,200,200,70,138267,58895,0.3787589455987771,-0.5652262392533599,-3.52338526363874,-0.03754917206139833,0.5108959458535585,0.5559502664298401
sbert-mean,5,10,10,2062,151790,None,None,None,None,None,0.5093700546933563,0.5663109448384449
sbert-mean,5,20,10,1063,141618,None,None,None,None,None,0.5066088299418605,0.54511677514392
sbert-mean,5,20,20,814,152206,90631,0.443656609398122,-1.3653223477060572,-2.3646113281954335,-0.0007091924314647474,0.5071085998804047,0.5700104627628555
sbert-mean,5,50,10,471,138952,82458,0.44289826174501523,-1.1302945594809952,-2.4901526266453713,0.0008681019179236005,0.5055105997386943,0.5389388581825671
sbert-mean,5,50,25,379,139983,76535,0.4311396520294548,-1.0847132413951024,-2.5893889914720543,-0.0016392473440061165,0.49432431881636063,0.5389153179422138
sbert-mean,5,50,50,306,137669,72235,0.4262394582960053,-1.0171466548767676,-2.6225464745908385,-0.003767157907668746,0.4987577280869013,0.5365340911451517
sbert-mean,5,100,1,290,108633,71075,0.4053471571649534,-0.9188778868576049,-2.9016891687162008,-0.01811086095034384,0.49752355294175626,0.4829955072615192
sbert-mean,5,100,10,251,129211,68833,0.41415680975276,-0.9548169261593807,-2.851189247457193,-0.013140575983620726,0.4952842212592404,0.5172940470545782
sbert-mean,5,100,50,189,130519,65172,0.4136050407566802,-0.8985987973241285,-2.6466012285715452,-0.003783462645331143,0.503670827229907,0.5274550347906
sbert-mean,5,100,100,159,130629,63584,0.39611115578359923,-0.872294939688403,-2.7643813661222354,-0.00797148398677755,0.505895424048507,0.530588928869102
sbert-mean,5,200,1,165,111374,61862,0.3902600482038272,-0.7502703889547588,-3.183465196540112,-0.030659234560987184,0.5006676416354041,0.4913339281259382
sbert-mean,5,200,20,139,123059,61143,0.4060269292446928,-0.8027675462857045,-2.870534288483196,-0.013293356684008713,0.507656414300736,0.5177344201428589
sbert-mean,5,200,100,101,120804,59868,0.3896928773591732,-0.7031491843998765,-3.118093219062651,-0.023398800883261718,0.5173278542522773,0.5212471783295711
sbert-mean,5,200,200,83,107442,59197,0.3786074754230709,-0.6356755245129556,-3.020616934084143,-0.017262665759703723,0.4776149493208014,0.4804467043975956
sbert-mean,10,10,10,1169,168708,None,None,None,None,None,0.5295497620909488,0.6221437149390495
sbert-mean,10,20,10,701,166099,85121,0.45602021572807677,-1.3040025033848757,-2.2503416582812354,0.009478164404694355,0.5265431238679114,0.6155128966831247
sbert-mean,10,20,20,508,151029,77674,0.4628986546077776,-1.2005343019967254,-2.130641082226705,0.019059055124512846,0.5154961879377673,0.5766112703889078
sbert-mean,10,50,10,330,144545,73780,0.4382909339075483,-1.0450217112241567,-2.3599696888485338,0.00974620450250084,0.5246430982690633,0.5687274531574731
